======================================================================
ALL submodules inside cv2.model.flow (CausalMaskedDiffWithXvec)
======================================================================
  flow.                                                   | CausalMaskedDiffWithXvec            | 112.55M
  ✅ hift.source_resblocks.0.convs1                          |   3 items | type: ParametrizedConv1d
  ✅ hift.source_resblocks.0.convs1.0.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.0.convs1.1.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.0.convs1.2.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.0.convs2                          |   3 items | type: ParametrizedConv1d
  ✅ hift.source_resblocks.0.convs2.0.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.0.convs2.1.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.0.convs2.2.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.0.activations1                    |   3 items | type: Snake
  ✅ hift.source_resblocks.0.activations2                    |   3 items | type: Snake
  ✅ hift.source_resblocks.1.convs1                          |   3 items | type: ParametrizedConv1d
  ✅ hift.source_resblocks.1.convs1.0.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.1.convs1.1.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.1.convs1.2.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.1.convs2                          |   3 items | type: ParametrizedConv1d
  ✅ hift.source_resblocks.1.convs2.0.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.1.convs2.1.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.1.convs2.2.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.1.activations1                    |   3 items | type: Snake
  ✅ hift.source_resblocks.1.activations2                    |   3 items | type: Snake
  ✅ hift.source_resblocks.2.convs1                          |   3 items | type: ParametrizedConv1d
  ✅ hift.source_resblocks.2.convs1.0.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.2.convs1.1.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.2.convs1.2.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.2.convs2                          |   3 items | type: ParametrizedConv1d
  ✅ hift.source_resblocks.2.convs2.0.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.2.convs2.1.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.2.convs2.2.parametrizations.weight |   1 items | type: _WeightNorm
  ✅ hift.source_resblocks.2.activations1                    |   3 items | type: Snake
  ✅ hift.source_resblocks.2.activations2                    |   3 items | type: Snake
  ✅ hift.resblocks                                          |   9 items | type: ResBlock
  ✅ hift.resblocks.0.convs1                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.0.convs1.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.0.convs1.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.0.convs1.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.0.convs2                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.0.convs2.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.0.convs2.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.0.convs2.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.0.activations1                           |   3 items | type: Snake
  ✅ hift.resblocks.0.activations2                           |   3 items | type: Snake
  ✅ hift.resblocks.1.convs1                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.1.convs1.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.1.convs1.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.1.convs1.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.1.convs2                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.1.convs2.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.1.convs2.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.1.convs2.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.1.activations1                           |   3 items | type: Snake
  ✅ hift.resblocks.1.activations2                           |   3 items | type: Snake
  ✅ hift.resblocks.2.convs1                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.2.convs1.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.2.convs1.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.2.convs1.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.2.convs2                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.2.convs2.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.2.convs2.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.2.convs2.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.2.activations1                           |   3 items | type: Snake
  ✅ hift.resblocks.2.activations2                           |   3 items | type: Snake
  ✅ hift.resblocks.3.convs1                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.3.convs1.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.3.convs1.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.3.convs1.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.3.convs2                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.3.convs2.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.3.convs2.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.3.convs2.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.3.activations1                           |   3 items | type: Snake
  ✅ hift.resblocks.3.activations2                           |   3 items | type: Snake
  ✅ hift.resblocks.4.convs1                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.4.convs1.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.4.convs1.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.4.convs1.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.4.convs2                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.4.convs2.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.4.convs2.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.4.convs2.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.4.activations1                           |   3 items | type: Snake
  ✅ hift.resblocks.4.activations2                           |   3 items | type: Snake
  ✅ hift.resblocks.5.convs1                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.5.convs1.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.5.convs1.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.5.convs1.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.5.convs2                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.5.convs2.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.5.convs2.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.5.convs2.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.5.activations1                           |   3 items | type: Snake
  ✅ hift.resblocks.5.activations2                           |   3 items | type: Snake
  ✅ hift.resblocks.6.convs1                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.6.convs1.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.6.convs1.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.6.convs1.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.6.convs2                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.6.convs2.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.6.convs2.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.6.convs2.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.6.activations1                           |   3 items | type: Snake
  ✅ hift.resblocks.6.activations2                           |   3 items | type: Snake
  ✅ hift.resblocks.7.convs1                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.7.convs1.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.7.convs1.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.7.convs1.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.7.convs2                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.7.convs2.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.7.convs2.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.7.convs2.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.7.activations1                           |   3 items | type: Snake
  ✅ hift.resblocks.7.activations2                           |   3 items | type: Snake
  ✅ hift.resblocks.8.convs1                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.8.convs1.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.8.convs1.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.8.convs1.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.8.convs2                                 |   3 items | type: ParametrizedConv1d
  ✅ hift.resblocks.8.convs2.0.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.8.convs2.1.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.8.convs2.2.parametrizations.weight       |   1 items | type: _WeightNorm
  ✅ hift.resblocks.8.activations1                           |   3 items | type: Snake
  ✅ hift.resblocks.8.activations2                           |   3 items | type: Snake
  ✅ hift.conv_post.parametrizations.weight                  |   1 items | type: _WeightNorm
  ✅ hift.f0_predictor.condnet.0.parametrizations.weight     |   1 items | type: _WeightNorm
  ✅ hift.f0_predictor.condnet.2.parametrizations.weight     |   1 items | type: _WeightNorm
  ✅ hift.f0_predictor.condnet.4.parametrizations.weight     |   1 items | type: _WeightNorm
